outcome,payment_account_prefix_same_as_address_prefix,payment_account_infrequent_account,payment_account_rare_account,bids_per_auction_per_ip_entropy_median,bids_per_auction_per_ip_entropy_mean,ips_per_bidder_per_auction_median,ips_per_bidder_per_auction_mean,only_one_user,ip_only_one_user_counts,on_ip_that_has_a_bot,on_ip_that_has_a_bot_mean,ip_entropy,dt_change_ip_median,dt_same_ip_median,num_first_bid,short,t_until_end_median,t_since_start_median,max_bids_in_hour72,sleep,dt_others_median,f_dt_others_lt_cutoff,dt_self_median,dt_self_min,monday,tuesday,wednesday,balance,bids_per_auction_median,bids_per_auction_mean,n_bids,n_urls,n_bids_url,f_urls,vasstdc27m7nks3,url_entropy,countries_per_bidder_per_auction_median,countries_per_bidder_per_auction_mean,countries_per_bidder_per_auction_max
,0,0,1,0,0,1,1,0,0,1,1,0,-1,631578948,0,1,6.99E+11,1.25E+13,48,1,3342105263,0,631578948,0,0,0,118,-124.6616125,7,9.833333333,118,114,118,0.966101695,0,440.2970343,1,1,1
,0,0,0,0,0.589144606,1,1.444444444,0.386363636,0.386363636,1,0.192307692,61.26170176,2.61E+11,1789473684,0,0.37037037,5.04E+12,6.44E+13,3,0,315789476,0.296296296,2.58E+11,1789473684,12,9,6,-0.962810748,1,1.5,27,1,27,0.037037037,1,0,1,1.222222222,5
,0,0,1,0,0.655625359,1.5,2.066666667,0.394230769,0.394230769,1,0.068965517,196.8661817,1.25E+11,8684210526,1,1,1.69E+12,3.24E+12,6,0,17763157896,0,1.14E+11,473684212,22,16,25,-1.006229985,2,2.1,63,7,63,0.111111111,0.857142857,34.74329399,1,1,1
,0,1,0,0,1.455580294,2,2.462184874,0.158602151,0.158602151,1,0.350393701,1460.06774,62605263157,2631578948,0,0.223642173,9.32E+12,9.60E+12,12,0,1315789474,0.111111111,57157894736,52631580,102,98,113,-0.567021154,2,2.630252101,313,20,313,0.063897764,0.300319489,443.8516685,1,1.159663866,7
,1,0,0,0,8.519944782,1.5,3.954545455,0.048387097,0.048387097,1,0.884615385,384.2838835,77473684212,98789473684,0,0.847457627,4.94E+12,7.40E+12,7,0,1868421054,0.103448276,78684210528,684210528,36,40,42,-0.228055421,1.5,5.363636364,118,3,118,0.025423729,0.983050847,9.515764126,1,1,1
,0,0,0,0,0,1,1,0.333333333,0.333333333,1,0.555555556,12.80182748,6.01E+11,1842105262,0,0.3,4.81E+12,4.02E+13,2,1,3289473683,0,5.28E+11,1842105262,0,6,4,-2.995732274,1,1,10,3,10,0.3,0.4,7.832014181,1,1,1
,0,0,0,0,0,1,1,0.2,0.2,1,0.25,1.791759469,2.17E+12,-1,0,0.5,3.89E+13,4.91E+12,1,1,1342105262,0.25,2.17E+12,1.83E+12,1,3,0,-1.098612289,1,1,4,3,4,0.75,0,1.791759469,1,1,1
,0,0,0,0,4.84315327,1,2.888888889,0.088235294,0.088235294,1,0.6,72.86647688,2.73E+11,1236842105,0,1,5.98E+12,6.81E+12,4,0,52631580,0.677419355,2.14E+11,0,11,7,13,-0.868500068,1,3.444444444,31,16,31,0.516129032,0.258064516,63.64816834,1,2,10
,0,0,1,0,5.187580372,2,4.360248447,0.311172669,0.311172669,1,0.237373737,4094.217074,10447368421,3210526316,1,1,6.29E+12,4.99E+12,32,0,1789473684,0.111716621,9842105262,0,301,282,163,-24.06468968,2,4.633540373,746,452,746,0.605898123,0.166219839,3607.827453,1,1.062111801,4
,0,0,0,0,0,1,1,0,0,1,1,0,-1,30842105264,0,1,7.57E+12,6.02E+12,2,1,5763157894,0,30842105264,30842105264,0,2,0,-0.693147181,1,1,2,1,2,0.5,1,0,1,1,1
,0,0,1,0,0,2,2,0,0,1,0.5,0,6.98E+12,-1,0,0,7.18E+13,5.52E+12,1,1,26315789,1,6.98E+12,6.98E+12,1,1,0,0,2,2,2,2,2,1,0,0,2,2,2
,0,0,0,0,0,1,1,0,0,1,1,0,-1,-1,0,0,1.34E+13,6.39E+13,1,1,52631580,1,,,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1
,0,0,1,0,0,1,1,0.4,0.4,1,0.333333333,0.693147181,3.38E+12,-1,0,0,1.17E+13,6.50E+13,1,1,2684210526,0,3.38E+12,3.38E+12,1,2,0,-0.693147181,1,1,3,2,3,0.666666667,0.666666667,0.693147181,1,1,1
,0,0,1,0,25.59571507,2,8.317307692,0.359451518,0.359451518,1,0.175141243,12585.06052,4105263158,2736842106,3,1,7.76E+12,4.79E+12,57,0,631578948,0.208659364,4105263156,0,881,628,453,-70.61461519,2,9.432692308,1962,16,1962,0.008154944,0.984199796,220.3033378,1,2.076923077,31
,0,0,1,0,0,1,1,0,0,1,1,0,-1,421052632,0,1,8.93E+12,4.52E+12,2,1,1.11E+12,0,421052632,421052632,0,2,0,-0.693147181,2,2,2,1,2,0.5,0,0,1,1,1
,0,0,1,0,0.043321699,1,1.21875,0.156862745,0.156862745,1,0.447368421,117.0787342,3.55E+11,526315790,0,0.209302326,9.72E+12,6.08E+13,3,0,921052632,0.214285714,3.23E+11,473684210,17,14,12,-0.401795379,1,1.34375,43,30,43,0.697674419,0.279069767,100.2695736,1,1.0625,2
,0,1,0,0,0,1,1,0,0,1,0.333333333,165.7271036,2.65E+11,1526315789,1,0.291262136,1.15E+13,5.57E+13,25,1,10605263157,0,1578947368,421052632,79,24,0,-54.77799636,1.5,4.291666667,103,6,103,0.058252427,0.563106796,134.9609979,1,1,1
,0,0,0,0,3.252859923,1,2.7,0.361702128,0.361702128,1,0.196078431,179.7463371,1.43E+11,24394736843,0,1,4.71E+12,6.78E+12,4,0,263157894,0.355932203,1.33E+11,0,18,16,26,-1.322157693,1,3,60,8,60,0.133333333,0.6,61.72579315,1,1.1,2
,1,0,0,0,0,1,1,0,0,1,1,0,3.51E+12,-1,0,1,2.11E+12,8.37E+11,1,1,4078947369,0,3.51E+12,3.51E+12,2,0,0,-0.693147181,1,1,2,1,2,0.5,1,0,1,1,1
,0,0,1,0,0,1,1,0,0,0,0,0,-1,-1,0,0.5,2.90E+13,9.90E+12,1,1,3999999999,0,,,0,1,1,0,1,1,2,1,2,0.5,1,0,1,1,1
,0,0,1,0,0,2,2,0,0,1,1,0,4.65E+12,-1,0,1,2.44E+12,7.14E+12,1,1,26315789,1,4.65E+12,4.65E+12,0,1,1,0,2,2,2,2,2,1,0,0,1,1,1
,1,0,0,0,0,1,1,0.5,0.5,0,0,0,-1,-1,0,0,6.76E+13,6.14E+12,1,1,1.67E+11,0,,,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1
,0,1,0,0,4.381020961,2,3.572327044,0.19921875,0.19921875,1,0.235181644,3286.584262,12842105262,1473684212,2,0.34796748,4.88E+12,6.68E+13,31,0,1052631578,0.133555927,12000000001,0,190,205,220,-1.095862668,2,3.867924528,615,67,615,0.108943089,0.219512195,1899.322914,1,1.06918239,7
,0,1,0,0,0,1,1,0,0,1,1,0,-1,3526315788,0,0,5.84E+13,7.41E+12,2,1,52263157896,0,3526315788,3526315788,0,2,0,-0.693147181,1,1,2,1,2,0.5,1,0,1,1,1
,0,0,0,0,3.872243195,1,2.4,0.145833333,0.145833333,1,0.411764706,106.4494387,4.35E+11,17947368422,0,0.12195122,6.40E+13,1.18E+13,3,0,105263158,0.585365854,3.38E+11,3105263158,6,13,22,-4.667990198,1,2.733333333,41,15,41,0.365853659,0.341463415,78.41663593,1,1.4,7
,0,0,0,0,0,1,1,0.285714286,0.285714286,1,0.4,12.80182748,2.05E+12,-1,0,0,9.69E+12,6.76E+13,1,1,1052631579,0.1,2.05E+12,2.31E+11,3,3,4,0,1,1,10,10,10,1,0,12.80182748,1,1,1
,0,0,0,0,164.0244064,2,11.25316456,0.060570535,0.060570535,1,0.576363636,18546.98613,1631578946,1526315790,3,1,6.31E+12,6.70E+12,144,0,736842106,0.148383813,1578947370,0,1550,1744,1514,-9.427451911,2,60.86075949,4808,3493,4808,0.726497504,0.200291181,29635.50816,1,1.063291139,2
,1,0,0,0,0,1,1,0.444444444,0.444444444,1,0.2,3.17805383,3.83E+11,-1,0,0.4,1.13E+13,9.19E+12,2,1,96894736840,0,3.83E+11,9315789474,3,0,2,-1.098612289,1,1,5,4,5,0.8,0.2,3.17805383,1,1,1
,0,0,1,0,0,1,1.133333333,0.432432432,0.432432432,1,0.2,39.85070981,6.71E+11,947368421,0,1,9.37E+12,4.26E+12,5,1,2184210526,0,3.99E+11,421052632,11,6,4,-1.684128805,1,1.4,21,4,21,0.19047619,0.857142857,8.830543011,1,1,1
,1,0,0,0.693147181,0.46209812,2,2,0.066666667,0.066666667,1,0.4,19.17739973,2.99E+11,70842105262,0,1,5.10E+12,8.53E+12,4,0,105263156,0.62962963,1.83E+11,473684210,7,9,12,-0.606135804,3,9.333333333,28,6,28,0.214285714,0.25,32.78706623,1,1,1
,0,0,0,0,0,1,1,0.090909091,0.090909091,1,0.666666667,12.80182748,4.40E+11,-1,1,1,1.67E+12,9.20E+12,2,1,1.09E+11,0,4.40E+11,12473684210,1,1,8,-3.843030134,1,1,10,3,10,0.3,0.2,6.222576268,1,1,1
,0,0,0,0,0,1,1,0.166666667,0.166666667,1,0.142857143,22.01316735,1.17E+11,11789473684,0,1,9.46E+12,2.01E+12,4,1,2263157895,0.142857143,29342105264,1421052632,15,0,0,-13.53679616,2,1.666666667,15,3,15,0.2,0.733333333,9.393661429,1,1,1
,0,0,1,0,0.198854339,1,1.462962963,0.213592233,0.213592233,1,0.304347826,272.2868299,1.75E+11,18368421052,0,0.345679012,8.93E+12,7.38E+12,6,0,1447368422,0.075,1.52E+11,368421052,26,32,23,-0.753720904,1,1.5,81,66,81,0.814814815,0.111111111,261.2767619,1,1,1
,0,0,0,0,0,1,1,0,0,0,0,0.693147181,1.19E+13,-1,0,0,5.55E+13,1.11E+13,1,1,157894738,0.333333333,1.19E+13,1.19E+13,2,0,1,-0.693147181,1,1,3,2,3,0.666666667,0.666666667,0.693147181,1,1,1
,0,1,0,0,3.167488734,1,1.866666667,0.120689655,0.120689655,1,0.076923077,105.8260594,51052631578,9789473684,0,0.078431373,7.37E+12,6.97E+13,9,1,421052632,0.428571429,15973684210,0,10,26,15,-3.750165368,1,3.4,51,5,51,0.098039216,0.019607843,56.75777919,1,1.133333333,3
,0,0,1,0,0,1,1,0,0,1,1,0,-1,-1,0,1,4.07E+12,9.58E+12,1,1,52631580,1,,,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1
,0,0,0,0,0,1,1,0,0,0,0,0,-1,1157894738,0,1,1.00E+13,3.61E+12,27,1,25210526316,0,1157894738,315789472,43,0,27,-28.09253961,2,4.666666667,70,2,70,0.028571429,0.014285714,4.234106505,1,1,1
,0,0,0,0,0,1,1,0,0,1,0.25,1.791759469,1.13E+12,-1,0,1,4.79E+12,8.09E+12,1,1,473684210,0,1.13E+12,3.33E+11,0,2,2,-0.693147181,1,1,4,3,4,0.75,0.5,1.791759469,1,1,1
,1,0,0,0.693147181,18.58720591,3,8.945205479,0.415975557,0.415975557,1,0.181444992,8264.57345,12631578948,2684210528,7,0.23916293,8.09E+12,8.12E+12,53,0,13947368422,0.06038048,11736842105,0,400,501,437,-5.803052258,3,9.164383562,1338,486,1338,0.3632287,0.01793722,4887.693992,1,1.034246575,3
,0,0,0,0,1.204083487,1,1.736842105,0.051282051,0.051282051,1,0.851851852,89.14044333,4.28E+11,1184210527,0,0,1.07E+13,6.66E+13,6,0,2710526316,0.222222222,2.59E+11,473684212,8,24,5,-7.650231199,1,1.947368421,37,19,37,0.513513514,0.27027027,78.35351887,1,1.105263158,3
,0,0,1,0,0,1,1,0.5,0.5,0,0,0,-1,-1,0,1,7.19E+12,6.45E+12,1,1,421052632,0,,,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
,1,0,0,0,0.109861229,1,1.2,0.238095238,0.238095238,1,0.272727273,26.51297702,2.60E+12,3263157896,0,0.0625,7.84E+12,6.91E+13,4,0,26552631579,0,3.44E+11,315789472,2,7,7,-1.589235205,1,1.6,16,4,16,0.25,0.3125,17.44881916,1,1,1
,0,0,0,0,0.159957042,1,1.461538462,0.285714286,0.285714286,1,0.142857143,38.64673701,1.79E+12,3052631580,0,0.3,3.71E+13,1.05E+13,5,1,1421052631,0.2,8.67E+11,1052631580,5,4,11,-1.838279485,1,1.538461538,20,15,20,0.75,0.05,37.95358983,1,1.230769231,2
,0,0,0,0,0.23104906,1,1.333333333,0,0,1,1,2.48490665,2.11E+12,74315789473,0,0,6.93E+13,8.00E+12,1,1,1526315790,0,8.04E+11,47894736840,0,3,2,-1.098612289,1,1.666666667,5,3,5,0.6,0,2.48490665,1,1.333333333,2
,0,0,1,1.791759469,2.893442687,4,3.923076923,0.161764706,0.161764706,1,0.512195122,162.190027,3.38E+11,1894736842,0,0,1.33E+13,6.40E+13,5,0,578947370,0.181818182,1.75E+11,526315790,15,20,22,-0.686416635,4,4.384615385,57,2,57,0.035087719,0.245614035,32.02875189,3,3.076923077,7
,0,0,0,0,0.193560051,1,1.55,0.2,0.2,1,0.379310345,78.09222355,2.27E+11,789473684,0,0.0625,7.49E+12,6.93E+13,2,0,473684212,0.193548387,2.09E+11,789473684,13,5,14,-2.421848514,1,1.6,32,17,32,0.53125,0.1875,66.7254806,1,1.4,3
,0,0,0,0,4.05554086,2,3.171428571,0.100628931,0.100628931,1,0.123595506,505.247498,66947368422,4421052632,4,1,5.78E+12,4.21E+12,12,0,39368421053,0,48684210527,315789474,54,41,48,-0.877677759,2,4.085714286,143,28,143,0.195804196,0.713286713,187.5520765,1,1,1
,0,0,1,0.693147181,76.05456539,3,17.17352941,0.341657099,0.341657099,1,0.161078546,51620.34141,1157894738,1421052630,23,1,5.85E+12,6.25E+12,187,0,789473684,0.161285363,1210526314,0,2255,2073,2553,-25.43221227,3,20.23823529,6881,1654,6881,0.240372039,0.129632321,36426.97404,1,2.082352941,43
,0,0,0,0,0,1,1,0,0,1,0.5,1.791759469,3.53E+11,-1,0,0.25,9.78E+12,3.53E+13,1,1,684210525,0.5,3.53E+11,2.23E+11,3,1,0,-1.098612289,1,1,4,2,4,0.5,0.75,1.098612289,1,1,1
,0,0,1,0,0.069314718,1,1.1,0.294117647,0.294117647,1,0.181818182,17.50230785,5.18E+11,2263157894,0,1,3.86E+12,4.80E+12,2,1,3052631578,0.090909091,3.18E+11,2263157894,5,5,2,-0.733969175,1,1.2,12,10,12,0.833333333,0.166666667,17.50230785,1,1,1
,1,0,0,0,109.4465756,2,20.33064516,0.056799413,0.056799413,1,0.185300207,74312.13128,1578947370,736842108,2,0.057106722,1.02E+13,6.49E+13,232,0,526315790,0.206473663,1578947368,0,3341,3355,3583,-5.346797836,2,27.63172043,10279,8868,10279,0.862729838,0.104095729,77829.03833,1,3.091397849,34
,1,0,0,0,0,1,1,0,0,1,1,0,-1,-1,0,1,7.76E+12,4.88E+12,1,1,1.98E+11,0,,,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
,0,0,0,0,35.28315426,2,11.03225806,0.375,0.375,1,0.053333333,1896.687794,12684210528,4236842105,7,1,4.42E+12,2.95E+12,16,0,5657894735,0.0125,11631578946,0,203,232,25,-107.1340427,2,14.83870968,460,159,460,0.345652174,0.191304348,1752.739746,1,1,1
,1,0,0,0,0.476268751,1,1.697916667,0.112676056,0.112676056,1,0.678571429,776.6028807,83447368421,2526315788,3,0.216931217,9.60E+12,9.38E+12,17,0,894736842,0.194444444,54315789474,105263158,73,76,40,-6.78267507,1,1.96875,189,22,189,0.116402116,0.645502646,275.7126083,1,1.177083333,3
,0,0,0,0,0,1,1,0,0,1,1,0,-1,53947368421,0,0,9.22E+12,6.81E+13,2,1,52631580,1,53947368421,37000000000,3,0,0,-1.791759469,3,3,3,2,3,0.666666667,0.333333333,0.693147181,1,1,1
,0,0,0,0,0.529675638,1,1.666666667,0.090909091,0.090909091,1,0.375,12.1086803,1.49E+12,8605263158,0,0,1.16E+13,6.40E+13,2,1,131578948,0.5,1.10E+12,842105264,7,2,1,-2.456735773,1,1.666666667,10,3,10,0.3,0.7,6.222576268,1,1,1
,0,0,0,0,0,1,1,0,0,1,1,0,-1,-1,0,0,3.96E+12,7.29E+13,1,1,20526315792,0,,,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1
,0,0,0,0,64.5485655,2,16.17142857,0.359657469,0.359657469,1,0.16798419,3503.495666,1947368422,3526315790,2,1,4.62E+12,4.92E+12,93,0,421052630,0.252650177,1973684211,0,138,266,269,-27.04151303,3,19.22857143,673,157,673,0.233283804,0.757800892,1039.023283,1,1.514285714,5
,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,0,1,4.96E+12,5.01E+12,1,1,421052632,0,,,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
,0,0,1,0,0,1,1.166666667,0.3,0.3,1,0.333333333,6.579251212,7.03E+11,28210526316,0,0.285714286,4.49E+11,7.52E+13,2,1,1210526314,0,1.53E+11,23842105262,0,1,6,-3.401197382,1,1.166666667,7,6,7,0.857142857,0.142857143,6.579251212,1,1.166666667,2
,0,0,1,2.48490665,2.48490665,3,3,0,0,1,0.5,8.119696253,5.97E+11,6947368422,0,0,6.02E+12,7.01E+13,4,1,210526316,0.333333333,55921052632,3473684210,1,8,0,-5.229324495,4.5,4.5,9,2,9,0.222222222,0.777777778,4.025351691,1,1,1
,0,1,0,0,9.128286282,2,4.034883721,0.013319672,0.013319672,1,0.818181818,4264.273257,16315789474,5526315790,27,0.364485981,1.02E+13,8.61E+12,32,0,6000000000,0.168471721,12789473684,0,290,299,374,-6.462101293,2,5.598837209,963,118,963,0.122533749,0.791277259,1289.019171,1,1.069767442,4
,0,0,0,1.791759469,59.81361447,3,16.52227979,0.342503188,0.342503188,1,0.143782476,154562.7955,894736842,578947370,43,0.322748684,9.46E+12,9.19E+12,490,0,2684210528,0.092904473,894736842,0,7217,6010,4818,-240.6946604,4,18.69948187,18045,2999,18045,0.166195622,0.642283181,47297.02674,1,1.082901554,11
,0,0,1,0,5.574157608,1,3.267123288,0.286031042,0.286031042,1,0.29040404,3301.039771,10000000000,3210526316,2,1,4.78E+12,6.78E+12,38,0,684210526,0.255389718,7842105262,0,111,265,268,-41.96425673,1,4.410958904,644,4,644,0.00621118,0.992236025,31.62198794,1,1.239726027,17
,0,1,0,0,0,1,1,0.5,0.5,0,0,1.098612289,85473684212,5078947368,0,1,7.80E+12,4.76E+12,3,1,868421052,0.25,9157894736,1000000000,0,4,0,-2.48490665,1,1.333333333,4,1,4,0.25,1,0,1,1,1
,0,0,0,0,0,1,1.285714286,0.307692308,0.307692308,1,0.5,10.6046029,1.74E+12,54842105264,0,0.333333333,9.16E+12,5.91E+12,1,0,315789474,0.222222222,1.52E+12,54842105264,4,2,3,-0.287682072,1,1.285714286,9,6,9,0.666666667,0.111111111,9.911455722,1,1,1
,0,0,1,0,0,1,1,0.090909091,0.090909091,1,0.3,12.80182748,1.18E+12,-1,0,1,5.29E+12,6.63E+12,2,1,3394736842,0.2,1.18E+12,80947368422,2,5,3,-0.510825624,1,1,10,6,10,0.6,0.1,9.62377365,1,1,1
,0,1,0,0,7.667965027,1,3.75,0.047619048,0.047619048,1,0.333333333,39.33988419,4.45E+11,1.30E+12,0,1,6.37E+12,7.27E+12,3,0,52631580,0.85,5.14E+11,52631580,6,8,6,-0.133531393,1,5,20,3,20,0.15,0.85,8.668024081,1,1.5,3
,1,0,0,0,0,1,1,0,0,0,0,0,-1,-1,0,1,1.33E+13,3.62E+11,1,1,52631578,1,,,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
,0,0,0,0,0,1,1,0.166666667,0.166666667,1,0.2,3.17805383,2.13E+12,-1,0,0.4,2.37E+12,3.19E+12,1,1,789473684,0.2,2.13E+12,2.96E+11,3,0,2,-1.098612289,1,1,5,3,5,0.6,0.6,2.48490665,1,1,1
,0,0,0,0,10.67068328,2,4.467065868,0.11884058,0.11884058,1,0.45026178,4992.203538,18894736840,1473684212,1,0.047149123,1.25E+13,1.33E+13,35,0,421052630,0.378006873,16684210527,0,296,321,295,-0.706313112,2,5.461077844,912,78,912,0.085526316,0.532894737,1901.710793,1,1.826347305,16
,0,0,0,0,16.56150162,1,5.678571429,0.270916335,0.270916335,1,0.38,759.1164553,57473684210,4210526316,0,1,6.24E+12,7.24E+12,9,0,105263157,0.587912088,47315789474,157894736,53,65,65,-0.799159858,1,6.535714286,183,86,183,0.469945355,0.349726776,558.6949256,1,1.607142857,13
,0,0,0,0,101.760391,2,16.70786517,0.250984252,0.250984252,1,0.185185185,14013.3425,2789473684,2789473685,0,0.039859834,6.56E+13,9.89E+12,142,0,157894736,0.480566987,2789473684,0,376,923,984,-165.7917683,2,25.65168539,2283,1686,2283,0.738501971,0.197547087,12813.32784,1,2.764044944,33
,0,0,0,0,0,1,1,0,0,1,1,0,-1,-1,0,1,8.88E+12,4.75E+12,1,1,13105263158,0,,,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
,0,0,0,0,0,1,1,0,0,1,1,0,-1,30105263158,0,1,3.95E+12,6.03E+12,2,1,315789473,0.5,30105263158,30105263158,0,2,0,-0.693147181,2,2,2,1,2,0.5,1,0,1,1,1
,0,0,0,0,125.8038777,2,16.37089202,0.301078167,0.301078167,1,0.121905941,34633.23526,1736842104,1105263158,4,1,5.81E+12,7.27E+12,120,0,52631580,0.66284585,1684210526,0,1637,1762,1787,-3.765931002,2,24.34741784,5186,1148,5186,0.221365214,0.450829155,20121.71615,1,1.394366197,39
,0,0,0,0,3.290181437,2,2.962962963,0.017857143,0.017857143,1,0.428571429,311.2838704,1.74E+11,22000000000,0,0,9.90E+12,6.48E+13,7,0,631578946,0.242990654,1.43E+11,315789472,34,40,36,-0.240242347,2,4.074074074,110,68,110,0.618181818,0.318181818,316.3483214,1,1,1
,0,1,0,0,6.711187673,2,3.844444444,0.177892919,0.177892919,1,0.162393162,2046.961481,7526315790,1105263160,4,0.567226891,5.50E+12,9.71E+12,28,1,947368420,0.138424821,5552631580,315789474,192,173,111,-11.87490579,2,5.288888889,476,26,476,0.054621849,0.067226891,625.4727773,1,1.277777778,8
,0,0,1,0,0.832837994,1,1.333333333,0,0,1,0.2,23.014257,1.77E+11,315789474,0,0.28,4.67E+11,7.31E+13,10,1,1289473685,0,394736842,0,2,0,23,-18.28878946,1,2.777777778,25,1,25,0.04,0,0,1,1,1
,0,0,0,0,0.072962861,1,1.210526316,0.282051282,0.282051282,1,0.181818182,52.02764486,4.91E+11,6000000000,0,0.392857143,1.26E+13,6.97E+12,5,1,8842105263,0,13236842104,1052631580,19,0,9,-11.43364413,1,1.473684211,28,20,28,0.714285714,0.142857143,60.28087251,1,1,1
,1,0,0,0,0.358351894,1,1.8,0,0,1,1,10.6046029,1.13E+12,-1,0,0.666666667,2.32E+12,5.17E+12,2,1,1947368420,0.111111111,1.13E+12,84631578948,5,1,3,-1.203972804,1,1.8,9,1,9,0.111111111,1,0,1,1,1
,1,0,0,0,0,1,1,0.5,0.5,0,0,0,-1,-1,0,1,6.89E+12,6.63E+12,1,1,473684212,0,,,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
,1,0,0,0,0,1,1,0.2,0.2,1,0.5,1.791759469,4.57E+12,-1,0,0.5,4.60E+12,9.18E+12,1,1,13131578947,0,4.57E+12,1.99E+12,1,1,2,0,1,1,4,1,4,0.25,1,0,1,1,1
,0,0,0,0.693147181,16.67222726,3,7.161290323,0.322404372,0.322404372,1,0.257142857,1094.24061,15947368422,1473684210,0,1,7.74E+12,3.15E+12,29,0,263157894,0.404081633,15368421052,52631578,63,109,76,-6.592188832,3,8,248,100,248,0.403225806,0.403225806,717.4117244,1,1.064516129,2
,0,0,0,0,0,1,1.333333333,0.2,0.2,1,0.25,1.791759469,1.06E+12,-1,0,0,6.34E+13,5.33E+12,1,1,78947370,0.75,1.06E+12,7.79E+11,1,2,1,0,1,1.333333333,4,4,4,1,0,1.791759469,1,1.333333333,2
,0,0,0,0,0,2,2,0.333333333,0.333333333,0,0,0,-1,-1,0,0,3.90E+13,3.83E+13,1,1,26315790,1,,,1,0,1,0,2,2,2,2,2,1,0.5,0,1,1,1
,0,0,0,,,,,,,0,0,,-1,-1,0,,,,,0,,,,,0,0,0,0,,,,,,,0,,,,
